Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Madhaugarh,219,MOOLCHANDRA SINGH,Bharatiya Janata Party,GIRISH KUMAR,Bahujan Samaj Party,45985,Result Declared
Madhuban,353,DARA SINGH CHAUHAN,Bharatiya Janata Party,AMRESH CHAND,Indian National Congress,29415,Result Declared
Mahadewa S.C,311,RAVI KUMAR SONKAR,Bharatiya Janata Party,DOODHRAM,Bahujan Samaj Party,25884,Result Declared
Maharajganj ,318,JAIMANGAL,Bharatiya Janata Party,NIRMESH MANGAL,Bahujan Samaj Party,68361,Result Declared
Maharajpur,217,SATISH MAHANA,Bharatiya Janata Party,MANOJ KUMAR SHUKLA,Bahujan Samaj Party,91826,Result Declared
Mahasi,285,SURESHWAR SINGH,Bharatiya Janata Party,ALI AKBAR,Indian National Congress,58969,Result Declared
Mahmoodabad,151,NARENDRA SINGH VERMA,Samajwadi Party,ASHA MAURYA,Bharatiya Janata Party,1906,Result Declared
Mahoba,230,RAKESH KUMAR GOSWAMI,Bharatiya Janata Party,SIDDH GOPAL SAHU,Samajwadi Party,31387,Result Declared
Maholi,145,SHASHANK TRIVEDI,Bharatiya Janata Party,ANOOP KUMAR GUPTA,Samajwadi Party,3717,Result Declared
Mainpuri,107,RAJKUMAR ALIAS RAJU YADAV,Samajwadi Party,ASHOK KUMAR,Bharatiya Janata Party,8831,Result Declared
Majhawan,397,SHUCHISMITA MAURYA,Bharatiya Janata Party,RAMESH CHAND BIND,Bahujan Samaj Party,41159,Result Declared
Malhani,367,PARASNATH YADAV,Samajwadi Party,DHANANJAY SINGH,Nirbal Indian Shoshit Hamara Aam Dal,21210,Result Declared
Malihabad,168,JAI DEVI,Bharatiya Janata Party,RAJBALA,Samajwadi Party,22668,Result Declared
Manikpur,237,R.K. SINGH PATEL,Bharatiya Janata Party,SAMPAT PAL,Indian National Congress,44464,Result Declared
Manjhanpur ,252,LAL BAHADUR,Bharatiya Janata Party,INDRAJEET SAROJ,Bahujan Samaj Party,4160,Result Declared
Mankapur ,300,RAMAPATI  SHASTRI,Bharatiya Janata Party,RAMESH CHANDRA,Bahujan Samaj Party,60161,Result Declared
Mant,82,SHYAM SUNDER SHARMA,Bahujan Samaj Party,YOGESH CHAUDHARY,Rashtriya Lok Dal,432,Result Declared
Marhara,105,VIRENDRA,Bharatiya Janata Party,AMIT GAURAV,Samajwadi Party,33432,Result Declared
Marihan,399,RAMA SHANKAR SINGH,Bharatiya Janata Party,LALITESH PATI TRIPATHI,Indian National Congress,46598,Result Declared
Mariyahu,370,LEENA TIWARI,Apna Dal (Soneylal),SHRADDHA YADAV,Samajwadi Party,11350,Result Declared
Matera,284,YASAR SHAH,Samajwadi Party,ARUN VEER SINGH,Bharatiya Janata Party,1595,Result Declared
Mathura,84,SHRIKANT SHARMA,Bharatiya Janata Party,PRADEEP MATHUR,Indian National Congress,101161,Result Declared
Mau,356,MUKHTAR ANSHARI,Bahujan Samaj Party,MAHENDRA RAJBHAR,Suheldev Bhartiya Samaj Party,8698,Result Declared
Mauranipur ,224,BIHARILAL ARYA,Bharatiya Janata Party,DR.RASHMI ARYA,Samajwadi Party,16971,Result Declared
Meerapur,16,AVTAR SINGH BHADANA,Bharatiya Janata Party,LIYAKAT ALI,Samajwadi Party,193,Result Declared
Meerganj,119,DR. D.C. VERMA,Bharatiya Janata Party,SULTAN BEG,Bahujan Samaj Party,54500,Result Declared
Meerut  ,48,RAFIQ ANSARI,Samajwadi Party,DR. LAXMIKANT BAJPAI,Bharatiya Janata Party,28769,Result Declared
Meerut Cantt.,47,SATYA PRAKASH AGARWAL,Bharatiya Janata Party,SATENDRA SOLANKI,Bahujan Samaj Party,76619,Result Declared
Meerut South,49,DR. SOMENDRA TOMAR,Bharatiya Janata Party,HAJI MOHAMMAD YAQUB,Bahujan Samaj Party,35395,Result Declared
Mehnagar ,352,KALPNATH PASWAN,Samajwadi Party,MANJOO SAROJ,Suheldev Bhartiya Samaj Party,5412,Result Declared
Mehnaun,295,VINAY KUMAR,Bharatiya Janata Party,ARSHAD ALI KHAN,Bahujan Samaj Party,36378,Result Declared
Mehroni ,227,MANOHAR LAL,Bharatiya Janata Party,FERAN LAL,Bahujan Samaj Party,99564,Result Declared
Meja,259,NEELAM KARWARIYA,Bharatiya Janata Party,RAM SEWAK SINGH,Samajwadi Party,19843,Result Declared
MENHDAWAL,312,RAKESH SINGH BAGHEL,Bharatiya Janata Party,ANIL KUMAR TRIPATHI,Bahujan Samaj Party,42914,Result Declared
Milak ,38,RAJBALA,Bharatiya Janata Party,VIJAY SINGH,Samajwadi Party,16667,Result Declared
Milkipur ,273,GORAKH NATH,Bharatiya Janata Party,AWADHESH PRASAD,Samajwadi Party,28276,Result Declared
Mirzapur,396,RATNAKAR MISHR,Bharatiya Janata Party,KAILASH CHAURASIYA,Samajwadi Party,57412,Result Declared
Misrikh ,153,RAM KRISHNA BHARGAVA,Bharatiya Janata Party,MANISH KUMAR RAWAT,Bahujan Samaj Party,20672,Result Declared
Modi Nagar,57,DR. MANJU SHIWACH,Bharatiya Janata Party,WAHAB,Bahujan Samaj Party,66582,Result Declared
Mohammadabad,378,ALKA RAI,Bharatiya Janata Party,SIBGATULLA ANSARI,Bahujan Samaj Party,32727,Result Declared
MOHAMMDI,144,LOKENDRA PRATAP SINGH,Bharatiya Janata Party,SANJAY SHARMA,Indian National Congress,33918,Result Declared
Mohan ,164,BRIJESH KUMAR,Bharatiya Janata Party,RADHE LAL RAWAT S/O MUNNU,Bahujan Samaj Party,54095,Result Declared
Mohanlalganj ,176,AMBRISH SINGH PUSHKAR,Samajwadi Party,RAM BAHADUR,Bahujan Samaj Party,530,Result Declared
Moradabad Nagar,28,RITESH KUMAR GUPTA,Bharatiya Janata Party,MOHAMMAD YUSUF ANSARI,Samajwadi Party,3193,Result Declared
Moradabad Rural,27,HAJI IKRAM QURESHI,Samajwadi Party,HARIOM SHARMA,Bharatiya Janata Party,28781,Result Declared
Mubarakpur,346,SHAH ALAM URF GUDDU JAMALI,Bahujan Samaj Party,AKHILESH YADAV,Samajwadi Party,688,Result Declared
Mughalsarai,380,SADHANA SINGH,Bharatiya Janata Party,BABULAL,Samajwadi Party,13243,Result Declared
Muhammadabad- Gohna (SC),355,SHRIRAM SONKAR,Bharatiya Janata Party,RAJENDRA KUMAR,Bahujan Samaj Party,538,Result Declared
Mungra Badshahpur,368,SUSHMA PATEL,Bahujan Samaj Party,SEEMA DWIVEDI,Bharatiya Janata Party,5920,Result Declared
Muradnagar,54,AJIT PAL TYAGI,Bharatiya Janata Party,SUDHAN KUMAR,Bahujan Samaj Party,89612,Result Declared
Muzaffar Nagar,14,KAPIL DEV AGARWAL,Bharatiya Janata Party,GAURAV SWARUP BANSAL,Samajwadi Party,10704,Result Declared
Nagina ,18,MANOJ KUMAR PARAS,Samajwadi Party,OMWATI DEVI,Bharatiya Janata Party,7967,Result Declared
Najibabad,17,TASLEEM AHMAD,Samajwadi Party,RAJIV KUMAR AGARWAL,Bharatiya Janata Party,2002,Result Declared
Nakur,2,DR.DHARAM SINGH SAINI,Bharatiya Janata Party,IMRAN MASOOD,Indian National Congress,4057,Result Declared
Nanpara,283,MADHURI VERMA,Bharatiya Janata Party,WARIS ALI,Indian National Congress,18669,Result Declared
Naraini ,234,RAJ KARAN KABIR,Bharatiya Janata Party,BHARAT LAL DIWAKAR,Indian National Congress,45007,Result Declared
Naugawan Sadat,40,CHETAN CHAUHAN,Bharatiya Janata Party,JAVED ABBAS,Samajwadi Party,20648,Result Declared
Nautanwa,316,AMAN MANI TRIPATHI,Independent,KUNWAR KAUSHAL KISHORE SINGH (MUNNA SINGH),Samajwadi Party,32256,Result Declared
Nawabganj,121,KESAR SINGH,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,39142,Result Declared
Nehtaur,21,OMKUMAR,Bharatiya Janata Party,MUNNALAL PREMI,Indian National Congress,23151,Result Declared
NIGHASAN,138,PATEL RAMKUMAR VERMA,Bharatiya Janata Party,KRISHNA GOPAL PATEL,Samajwadi Party,46123,Result Declared
Nizamabad,348,ALAMBADI,Samajwadi Party,CHANDRA DEV RAM,Bahujan Samaj Party,18529,Result Declared
Noida,61,PANKAJ SINGH,Bharatiya Janata Party,SUNIL CHOUDHARY,Samajwadi Party,104016,Result Declared
Noorpur,24,LOKENDRA SINGH,Bharatiya Janata Party,NAIM UL HASAN,Samajwadi Party,12736,Result Declared
Obra,402,SANJIV KUMAR,Bharatiya Janata Party,RAVI GOND,Samajwadi Party,44269,Result Declared
Orai ,221,GAURI SHANKAR,Bharatiya Janata Party,MAHENDRA SINGH,Samajwadi Party,78879,Result Declared
Padrauna,330,SWAMI PRASAD MAURYA,Bharatiya Janata Party,JAVED IQBAL,Bahujan Samaj Party,40552,Result Declared
PALIA,137,HARVINDER KUMAR SAHANI,Bharatiya Janata Party,SAIF ALI NAQVI,Indian National Congress,69228,Result Declared
Paniyara,319,GYANENDRA,Bharatiya Janata Party,GANESH SHANKER PANDEY,Bahujan Samaj Party,67491,Result Declared
Pathardeva,338,SURYA PRATAP SHAHI,Bharatiya Janata Party,SHAKIR ALI,Samajwadi Party,42997,Result Declared
Patiyali,102,MAMTESH,Bharatiya Janata Party,KIRAN YADAV,Samajwadi Party,3771,Result Declared
Patti,249,RAJENDRA PRATAP SINGH ALIAS MOTI,Bharatiya Janata Party,RAM SINGH,Samajwadi Party,1473,Result Declared
Payagpur,287,SUBHASH TRIPATHI,Bharatiya Janata Party,MUKESH SRIVASTAVA ALIAS GYANENDERA PRATAP,Samajwadi Party,41541,Result Declared
Phaphamau,254,VIKRAMAJEET,Bharatiya Janata Party,ANSAR AHAMAD,Samajwadi Party,25985,Result Declared
Pharenda,315,BAJRANG BAHADUR SINGH,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,2354,Result Declared
Phephana,360,UPENDRA TIWARI,Bharatiya Janata Party,AMBIKA CHOUDHARY,Bahujan Samaj Party,17897,Result Declared
Phoolpur Pawai,349,ARUN KUMAR YADAV,Bharatiya Janata Party,ABUL QAIS AZMI,Bahujan Samaj Party,7295,Result Declared
Phulpur,256,PRAVEEN KUMAR SINGH,Bharatiya Janata Party,MANSOOR ALAM,Samajwadi Party,26613,Result Declared
Pilibhit,127,SANJAY SINGH GANGWAR,Bharatiya Janata Party,RIAZ AHMAD,Samajwadi Party,43356,Result Declared
Pindra,384,AVADHESH SINGH,Bharatiya Janata Party,BABULAL,Bahujan Samaj Party,36849,Result Declared
Pipraich,321,MAHENDRA PAL SINGH,Bharatiya Janata Party,AFATAB ALAM URF GUDDU BHAIYA,Bahujan Samaj Party,12809,Result Declared
Powayan,134,CHETRAM,Bharatiya Janata Party,SHAKUNTLA DEVI,Samajwadi Party,72417,Result Declared
Pratapgarh,248,SANGAM LAL GUPTA,Apna Dal (Soneylal),"NAGENDRA SINGH "" MUNNA YADAV""",Samajwadi Party,34554,Result Declared
Pratappur,257,MOHD MUJTABA SIDDQUI,Bahujan Samaj Party,KARAN SINGH,Apna Dal (Soneylal),2654,Result Declared
Puranpur,129,BABU RAM PASWAN,Bharatiya Janata Party,PEETAM RAM,Samajwadi Party,39242,Result Declared
Purqazi ,13,PRAMOD UTWAL,Bharatiya Janata Party,DEEPAK KUMAR,Indian National Congress,11253,Result Declared
Purwa,167,ANIL SINGH,Bahujan Samaj Party,UTTAM CHANDRA URF RAKESH LODHI,Bharatiya Janata Party,26483,Result Declared
Rae Bareli,180,ADITI SINGH,Indian National Congress,MHD. SHAHBAZ KHAN,Bahujan Samaj Party,89163,Result Declared
Ram Nagar,267,SHARAD KUMAR AWASTHI,Bharatiya Janata Party,ARVINDA KUMAR SINGH 'GOPE',Samajwadi Party,22727,Result Declared
Ramkola,335,RAMANAND BAUDH,Suheldev Bhartiya Samaj Party,PURNMASI DEHATI,Samajwadi Party,55729,Result Declared
Rampur  ,37,MOHAMMAD AZAM KHAN,Samajwadi Party,SHIV BAHADUR SAXENA,Bharatiya Janata Party,46842,Result Declared
Rampur Karkhana,339,KAMLESH SHUKLA,Bharatiya Janata Party,FASIHA MANZER GHAZALA LARI,Samajwadi Party,9987,Result Declared
Rampur Khas,244,ARADHANA MISHRA 'MONA',Indian National Congress,NAGESH PRATAP SINGH URF CHHOTE SARKAR,Bharatiya Janata Party,17066,Result Declared
Rampur Maniharan ,6,DEVENDER KUMAR NIM,Bharatiya Janata Party,RAVINDRA KUMAR MOLHU,Bahujan Samaj Party,595,Result Declared
Raniganj,250,ABHAY KUMAR ALIAS DHIRAJ OJHA,Bharatiya Janata Party,SHAKEEL AHMAD KHAN,Bahujan Samaj Party,9009,Result Declared
Rasara,358,UMA SHANKER SINGH,Bahujan Samaj Party,RAM IQBALL SINGH,Bharatiya Janata Party,33887,Result Declared
Rasulabad ,205,NIRMALA SANKHWAR,Bharatiya Janata Party,ARUN KUMARI KORI,Samajwadi Party,33394,Result Declared
Rath ,229,MANISHA ANURAGI,Bharatiya Janata Party,GAYADEEN ANURAGI,Indian National Congress,104643,Result Declared
Robertsganj,401,BHUPESH CHAUBEY,Bharatiya Janata Party,AVINASH KUSHVAHA,Samajwadi Party,40538,Result Declared
Rohaniya,387,SURENDRA NARAYAN SINGH,Bharatiya Janata Party,MAHENDRA SINGH  PATEL,Samajwadi Party,57553,Result Declared
Rudauli,271,RAM CHANDRA YADAV,Bharatiya Janata Party,ABBAS ALI ZAIDI URF RUSHDI MIYAN,Samajwadi Party,31259,Result Declared
Rudhauli,309,SANJAY PRATAP JAISWAL,Bharatiya Janata Party,RAJENDRA PRASAD CHAUDHARY,Bahujan Samaj Party,21805,Result Declared
Rudrapur,336,JAI PRAKASH NISHAD,Bharatiya Janata Party,AKHILESH PRATAP SINGH,Indian National Congress,26789,Result Declared
Sadabad,79,RAMVEER UPADHYAY,Bahujan Samaj Party,DR ANIL CHAUDHARY,Rashtriya Lok Dal,26610,Result Declared
Sadar,189,SITARAM,Bharatiya Janata Party,RAJ PRASAD UPADHAYAY,Bahujan Samaj Party,18773,Result Declared
Safipur ,163,BAMBA LAL,Bharatiya Janata Party,RAM BARAN,Bahujan Samaj Party,27236,Result Declared
Sagri,345,BANDANA SINGH,Bahujan Samaj Party,JAIRAM PATEL,Samajwadi Party,5475,Result Declared
Sahajanwa,324,SHEETAL PANDEY,Bharatiya Janata Party,YASPAL SINGH RAWAT,Samajwadi Party,15377,Result Declared
Saharanpur  ,4,MASOOD AKHTAR,Indian National Congress,JAGPAL SINGH,Bahujan Samaj Party,12324,Result Declared
Saharanpur Nagar,3,SANJAY GARG,Samajwadi Party,RAJIV GUMBER,Bharatiya Janata Party,4636,Result Declared
Sahaswan,113,OMKAR SINGH,Samajwadi Party,ARSHAD ALI,Bahujan Samaj Party,4269,Result Declared
Sahibabad,55,SUNIL KUMAR SHARMA,Bharatiya Janata Party,AMARPAL,Indian National Congress,150685,Result Declared
Saidpur ,374,SUBHASH PASSI,Samajwadi Party,VIDYASAGAR SONKAR,Bharatiya Janata Party,8710,Result Declared
Saiyadraja,382,SUSHIL SINGH,Bharatiya Janata Party,SHYAM NARAYAN SINGH,Bahujan Samaj Party,14494,Result Declared
Sakaldiha,381,PRABHUNARAYAN YADAV,Samajwadi Party,SURYAMUNI TIWARI,Bharatiya Janata Party,14969,Result Declared
Salempur,341,KALI PRASAD,Bharatiya Janata Party,VIJAY LAXMI GAUTAM,Samajwadi Party,25654,Result Declared
Salon ,181,DAL BAHADUR,Bharatiya Janata Party,SURESH CHAUDHARY,Indian National Congress,16055,Result Declared
Sambhal,33,IQBAL MEHMOOD,Samajwadi Party,ZIAURREHMAN,All India Majlis-E-Ittehadul Muslimeen,18822,Result Declared
Sandi ,158,PRABHASH KUMAR,Bharatiya Janata Party,OMENDRA KUMAR VERMA,Indian National Congress,20225,Result Declared
Sandila,161,RAJ KUMAR AGRAWAL URF RAJIA,Bharatiya Janata Party,ABDUL MANNAN,Samajwadi Party,20403,Result Declared
Sardhana,44,SANGEET SINGH SOM,Bharatiya Janata Party,ATUL PRADHAN,Samajwadi Party,21625,Result Declared
Sareni,182,DHIRENDRA BAHADUR SINGH,Bharatiya Janata Party,THAKUR PRASAD YADAV,Bahujan Samaj Party,13007,Result Declared
Sarojini Nagar,170,SWATI SINGH,Bharatiya Janata Party,ANURAG ALIAS ANURAG YADAV,Samajwadi Party,34179,Result Declared
Sawaijpur,154,KUNVAR MADHVENDRA PRATAP,Bharatiya Janata Party,PADAMRAG SINGH YADAV,Samajwadi Party,26970,Result Declared
Sevapuri,391,"NEEL RATAN SINGH PATEL ""NEELU""",Apna Dal (Soneylal),SURENDRA SINGH PATEL,Samajwadi Party,49182,Result Declared
Sevata,150,GYAN TIWARI,Bharatiya Janata Party,ENGINEER MOHAMMAD NASIM,Bahujan Samaj Party,43659,Result Declared
Shahabad,155,RAJANI TIWARI,Bharatiya Janata Party,ASIF KHAN,Bahujan Samaj Party,4260,Result Declared
Shahganj,365,SHAILENDRA YADAV LALAI,Samajwadi Party,RANA AJEET PRATAP SINGH,Suheldev Bhartiya Samaj Party,9162,Result Declared
Shahjahanpur,135,SURESH KUMAR KHANNA,Bharatiya Janata Party,TANVEER KHAN,Samajwadi Party,19203,Result Declared
Shamli,10,TEJENDRA NIRWAL,Bharatiya Janata Party,PANKAJ KUMAR MALIK,Indian National Congress,29720,Result Declared
Shekhupur,116,DHARMENDRA KUMAR SINGH SHAKYA,Bharatiya Janata Party,ASHISH YADAV,Samajwadi Party,23386,Result Declared
Shikarpur,69,ANIL KUMAR,Bharatiya Janata Party,MUKUL UPADHYAY,Bahujan Samaj Party,50245,Result Declared
Shikohabad,98,MUKESH VERMA,Bharatiya Janata Party,SANJAY KUMAR,Samajwadi Party,10777,Result Declared
Shivpur,386,ANIL RAJBHAR,Bharatiya Janata Party,"ANAND MOHAN ""GUDDU YADAV""",Samajwadi Party,54259,Result Declared
Shohratgarh,302,AMAR SINGH CHAUDHARY,Apna Dal (Soneylal),MOHD. JAMEEL,Bahujan Samaj Party,22124,Result Declared
Shrawasti,290,RAM FERAN,Bharatiya Janata Party,MOHD. RAMZAN,Samajwadi Party,445,Result Declared
Sidhauli ,152,HARGOVIND BHARGAVA,Bahujan Samaj Party,MANISH RAWAT,Samajwadi Party,2510,Result Declared
Sikanderpur,359,SANJAY YADAV,Bharatiya Janata Party,ZIAUDDIN RIZWI,Samajwadi Party,23548,Result Declared
Sikandra,207,MATHURA PRASAD PAL,Bharatiya Janata Party,MAHENDRA KATIYAR (BABLU),Bahujan Samaj Party,38103,Result Declared
Sikandra Rao,80,BIRENDRA SINGH RANA,Bharatiya Janata Party,BANI SINGH BAGHEL,Bahujan Samaj Party,14772,Result Declared
Sikandrabad,64,BIMLA SINGH SOLANKI,Bharatiya Janata Party,MOHAMMAD IMRAN,Bahujan Samaj Party,28623,Result Declared
Sirathu,251,SHEETLA PRASAD,Bharatiya Janata Party,VACHASPATI,Samajwadi Party,26203,Result Declared
Sirsaganj,99,HARIOM YADAV,Samajwadi Party,JAIVEER SINGH,Bharatiya Janata Party,10676,Result Declared
Sishamau,213,HAZI IRFAN SOLANKI,Samajwadi Party,SURESH AWASTHI,Bharatiya Janata Party,5826,Result Declared
Siswa,317,PREMSAGAR PATEL,Bharatiya Janata Party,SHIVENDRA SINGH ALIAS SHIVBABU,Samajwadi Party,68186,Result Declared
Sitapur,146,RAKESH RATHORE,Bharatiya Janata Party,RADHEY SHYAM JAISWAL,Samajwadi Party,24839,Result Declared
Siwalkhas,43,JITENDRA PAL SINGH (BILLU),Bharatiya Janata Party,GHULAM MOHAMMAD,Samajwadi Party,11421,Result Declared
Soraon ,255,JAMUNA PRASAD,Apna Dal (Soneylal),GEETA DEVI,Bahujan Samaj Party,17735,Result Declared
SRI NAGAR,140,MANJU TYAGI,Bharatiya Janata Party,MEERA BANO,Samajwadi Party,54939,Result Declared
Suar,34,MOHAMMAD ABDULLAH AZAM KHAN,Samajwadi Party,LAXMI SAINI,Bharatiya Janata Party,53096,Result Declared
Sultanpur,188,SURYA BHAN SINGH,Bharatiya Janata Party,MUJEEB AHMAD,Bahujan Samaj Party,32393,Result Declared
Syana,66,DEVENDRA,Bharatiya Janata Party,DILNAWAZ KHAN,Bahujan Samaj Party,71630,Result Declared
Tamkuhi Raj,331,AJAY KUMAR LALLU,Indian National Congress,JAGADISH MISHRA  ALIAS  BALTI BABA,Bharatiya Janata Party,18114,Result Declared
Tanda,278,SANJU DEVI,Bharatiya Janata Party,AZEEMUL HAQ PAHALWAN,Samajwadi Party,1725,Result Declared
Tarabganj,299,PREM NARAYAN PANDEY,Bharatiya Janata Party,VINOD KUMAR ALIS PANDIT SINGH,Samajwadi Party,38442,Result Declared
Thakurdwara,26,NAVAB JAN,Samajwadi Party,RAJPAL SINGH CHAUHAN,Bharatiya Janata Party,13409,Result Declared
Thana Bhawan,9,SURESH KUMAR,Bharatiya Janata Party,ABDUL WARIS KHAN,Bahujan Samaj Party,16817,Result Declared
Tilhar,133,ROSHAN LAL VERMA,Bharatiya Janata Party,KUNWAR JITIN PRASADA,Indian National Congress,5705,Result Declared
Tiloi,178,MAYANKESHWAR SHARAN SINGH,Bharatiya Janata Party,MOHD. SAOOD,Bahujan Samaj Party,44047,Result Declared
Tindwari,232,BRAJESH KUMAR PRAJAPATI,Bharatiya Janata Party,JAGDISH PRASAD PRAJAPATI,Bahujan Samaj Party,37407,Result Declared
Tirwa,197,KAILASH SINGH RAJPUT,Bharatiya Janata Party,VIJAY BAHADUR PAL,Samajwadi Party,24209,Result Declared
Tulsipur,291,KAILASH NATH SHUKLA,Bharatiya Janata Party,ZEBA RIZWAN,Indian National Congress,18659,Result Declared
Tundla ,95,SATYA PAL SINGH BAGHEL,Bharatiya Janata Party,RAKESH BABU,Bahujan Samaj Party,56070,Result Declared
Unchahar,183,MANOJ KUMAR PANDEY,Samajwadi Party,UTKRIST MAURYA,Bharatiya Janata Party,1934,Result Declared
Unnao,165,PANKAJ GUPTA,Bharatiya Janata Party,MANISHA DEEPAK,Samajwadi Party,46072,Result Declared
Utraula,293,RAM PRATAP ALIAS SHASHIKANT VERMA,Bharatiya Janata Party,ARIF ANWAR HASHMI,Samajwadi Party,29174,Result Declared
Varanasi Cantt.,390,SAURABH SRIVASTAVA,Bharatiya Janata Party,ANIL SRIVASTAVA,Indian National Congress,61326,Result Declared
Varanasi North,388,RAVINDRA JAISWAL,Bharatiya Janata Party,ABDUL SAMAD ANSARI,Indian National Congress,45502,Result Declared
Varanasi South,389,DR. NEELKANTH TIWARI,Bharatiya Janata Party,RAJESH MISHRA,Indian National Congress,17226,Result Declared
Vishwanathganj,247,RAKESH KUMAR VERMA ALIAS DR.R.K.VERMA,Apna Dal (Soneylal),SANJAY PANDEY,Indian National Congress,23358,Result Declared
Zafrabad,371,DR HARENDRA PRASAD SINGH,Bharatiya Janata Party,SHACHINDRA NATH TRIPATHI,Samajwadi Party,24865,Result Declared
Zahoorabad,377,OM PRAKASH RAJBHAR,Suheldev Bhartiya Samaj Party,KALICHARAN,Bahujan Samaj Party,18081,Result Declared
Zaidpur ,269,UPENDRA SINGH,Bharatiya Janata Party,TANUJ PUNIA,Indian National Congress,29181,Result Declared
Zamania,379,SUNITA,Bharatiya Janata Party,ATUL KUMAR,Bahujan Samaj Party,9264,Result Declared
